"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"417","Stenenwal 19 A","18 augustus 2020","27 november 2020","3 maanden","€ 695.000 kosten koper","€ 4.162","Verkocht",NA,NA,"Bestaande bouw","1920","Zadeldak bedekt met pannen","167 m²","7 m²",NA,"979 m³","6 kamers (2 slaapkamers)",NA,NA,"3 woonlagen en een kelder",NA,"TV kabel","F Wat betekent dit?",NA,"Gaskachels","Geiser",NA,"Volle eigendom","Aan rustige weg, in centrum en vrij uitzicht",NA,NA,NA,"Betaald parkeren",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","86 m²","71 m²",NA,"65 m²",NA,NA,NA,NA
"418","Beeltplein 1 B","22 september 2020","16 oktober 2020","3 weken","€ 299.500 kosten koper","€ 2.995","Verkocht","€ 200,00 per maand","Portiekwoning (appartement)","Bestaande bouw","1979","Zadeldak bedekt met pannen","100 m²","3 m²","3 m²","286 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"2 woonlagen","1e woonlaag",NA,NA,"Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel","Valliant (gas gestookt combiketel uit 2008, eigendom)","Gemeentelijke erfpacht",NA,"Balkon aanwezig","Aangebouwde stenen berging",NA,NA,"Ja","Ja","Ja (€ 200,00 per maand)","Ja","Ja","Ja",NA,"4 m²",NA,"C Wat betekent dit?",NA,NA,NA,NA,NA
"419","Kolonel Millerstraat (Bouwnr. 10)","17 juli 2020","1 december 2020","4 maanden","€ 420.000 vrij op naam","€ 2.838","Verkocht",NA,NA,"Nieuwbouw","2021",NA,"148 m²",NA,"6 m²","553 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbaar parkeren, parkeergarage en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, hoekwoning","4 m²",NA,NA,NA,NA,NA,NA,NA
"420","Woningen Type Fb (Bouwnr. 9)","17 juli 2020","24 november 2020","4 maanden","€ 395.000 vrij op naam","€ 2.616","Verkocht",NA,NA,"Nieuwbouw","2021",NA,"151 m²",NA,NA,"534 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning",NA,NA,NA,NA,"Achtertuin en voortuin",NA,NA,NA
"421","Jonkheer Ruysstraat 55","2 november 2020","26 november 2020","3 weken","€ 239.000 kosten koper","€ 2.390","Verkocht",NA,NA,"Bestaande bouw","1949","Zadeldak bedekt met pannen","100 m²","20 m²",NA,"434 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen en een kelder",NA,"Elektra en stromend water",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Atag (gas gestookt combiketel uit 2018, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig",NA,"Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","40 m²","140 m²","C Wat betekent dit?","140 m²","Achtertuin en voortuin","64 m² (11,64 meter diep en 5,47 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA
"422","7 Januaristraat 1","18 september 2020","30 oktober 2020","6 weken","€ 325.000 kosten koper","€ 2.826","Verkocht",NA,NA,"Bestaande bouw","1960","Zadeldak bedekt met pannen","115 m²",NA,"16 m²","399 m³","7 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen en een kelder",NA,"Elektra","F Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Bosch 25VRC (gas gestookt combiketel uit 2008, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Aangebouwde stenen berging","Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","26 m²","218 m²",NA,"218 m²","Achtertuin en voortuin","40 m² (0,1 meter diep en 0,04 meter breed)","Gelegen op het oosten bereikbaar via achterom","1 auto"
"423","Churchilllaan 77","14 september 2020","26 november 2020","2 maanden","€ 399.000 kosten koper","€ 2.810","Verkocht",NA,NA,"Bestaande bouw","1962","Zadeldak bedekt met pannen","142 m²","2 m²",NA,"625 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen, een zolder en een kelder",NA,"Elektra en stromend water",NA,NA,"Cv-ketel","Cv-ketel","Gas gestookt uit 2013, eigendom","Volle eigendom","Aan rustige weg en in woonwijk","Balkon aanwezig",NA,"Aangebouwde stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","40 m²","222 m²","D Wat betekent dit?","222 m²","Achtertuin en voortuin","0,06 meter diep en 0,07 meter breed","Gelegen op het westen","1 auto"
"424","Aldegondaplantsoen 21","4 november 2020","26 november 2020","3 weken","€ 385.000 kosten koper","€ 2.619","Verkocht",NA,NA,"Bestaande bouw","2003","Plat dak","147 m²",NA,"9 m²","509 m³","4 kamers (3 slaapkamers)",NA,NA,"3 woonlagen",NA,"Mechanische ventilatie en TV kabel",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2003, eigendom","Volle eigendom","Aan rustige weg, in woonwijk en open ligging",NA,"Aangebouwde stenen berging","Carport en parkeerplaats",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"139 m²","B Wat betekent dit?","139 m²","Achtertuin",NA,NA,NA
"425","Maastrichterweg 4, 3620 Lanaken - België","1 oktober 2020","20 november 2020","7 weken","€ 375.000 kosten koper","€ 1.974","Verkocht",NA,NA,"Bestaande bouw","2010","Zadeldak bedekt met pannen","190 m²","15 m²","6 m²","450 m³","9 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektrische deur, elektra en stromend water",NA,"Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel en pellet burner","Cv-ketel","Viesmann (gas gestookt uit 2010, eigendom)","Volle eigendom","Aan drukke weg, in woonwijk en open ligging",NA,"Vrijstaande houten berging","Inpandig","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","18 m²","459 m²","Niet beschikbaar","459 m²","Tuin rondom",NA,NA,"1 auto"
"426","Sterreplein 10","1 oktober 2020","26 november 2020","8 weken","€ 475.000 kosten koper","€ 3.345","Verkocht",NA,NA,"Bestaande bouw","1927","Zadeldak bedekt met pannen","142 m²","1 m²","2 m²","553 m³","6 kamers (6 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen en een kelder",NA,"Dakraam, natuurlijke ventilatie, schuifpui en TV kabel",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2011, huur","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","26 m²","107 m²","E Wat betekent dit?","107 m²","Achtertuin en voortuin","20 m² (3,8 meter diep en 5,2 meter breed)","Gelegen op het zuiden",NA
