"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"1","Ponjaardruwe 131 C","20 februari 2021","5 maart 2021","13 dagen","€ 249.000 kosten koper","€ 2.541","Verkocht","€ 189,21 per maand","Galerijflat (appartement)","Bestaande bouw","2008","Plat dak","98 m²","7 m²","8 m²","295 m³","3 kamers (2 slaapkamers)","1 badkamer","Toilet","1 woonlaag","2e woonlaag","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Hesi HR combi (gas gestookt combiketel uit 2019, huur)","Volle eigendom","In woonwijk","Balkon aanwezig","Inpandig","Parkeerplaats","Openbaar parkeren","Ja","Ja","Ja (€ 189,21 per maand)","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cyclopenhof 5","26 januari 2021","12 februari 2021","2 weken","€ 310.000 kosten koper","€ 2.583","Verkocht",NA,NA,"Bestaande bouw","1980","Zadeldak bedekt met pannen","120 m²",NA,"5 m²","480 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektrische deur, vliering en elektra",NA,"Dakisolatie","Cv-ketel, pellet burner en gedeeltelijke vloerverwarming","Cv-ketel","Remeha HR Quinta (gas gestookt combiketel uit 2008, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaand kunststof","Inpandig","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","17 m²","201 m²","C Wat betekent dit?","201 m²","Achtertuin en voortuin","54 m² (6 meter diep en 9 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","1 auto"
"3","Sphinxlunet 48 C","27 februari 2021","15 maart 2021","2 weken","€ 275.000 kosten koper","€ 3.929","Verkocht","€ 146,92 per maand","Portiekflat (corridorflat)","Bestaande bouw","1992","Plat dak","70 m²","14 m²","4 m²","200 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","2e woonlaag","Elektra",NA,"Gedeeltelijk dubbel glas","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","In woonwijk",NA,"Inpandig",NA,"Betaald parkeren","Ja","Ja","Ja (€ 146,92 per maand)","Ja","Ja","Ja",NA,NA,NA,"B 1,28 Wat betekent dit?",NA,NA,NA,NA,NA
"4","Dokter Bakstraat 5 D","5 maart 2021","17 maart 2021","12 dagen","€ 375.000 kosten koper","€ 3.472","Verkocht","€ 272,00 per maand","Portiekflat","Bestaande bouw","1971",NA,"108 m²","10 m²","8 m²","360 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag",NA,NA,NA,NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Ja","Ja","Ja (€ 272,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"E 2,34 Wat betekent dit?",NA,NA,NA,NA,NA
"5","Grétrystraat 11","16 januari 2021","15 februari 2021","4 weken","€ 298.000 kosten koper","€ 1.987","Verkocht",NA,NA,"Bestaande bouw","1969","Zadeldak bedekt met pannen","150 m²",NA,"14 m²","707 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen en een kelder",NA,"Dakraam, natuurlijke ventilatie, rolluiken en TV kabel",NA,"Geen isolatie","Cv-ketel","Geiser (huur)","CV (VR Radson) (gas gestookt uit 1991, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","68 m²","290 m²","F Wat betekent dit?","290 m²","Achtertuin, voortuin en zijtuin",NA,NA,"1 auto"
"6","Cassédonk 18","13 januari 2021","29 januari 2021","2 weken","€ 369.000 kosten koper","€ 2.171","Verkocht",NA,NA,"Bestaande bouw","1970","Zadeldak bedekt met pannen","170 m²",NA,NA,"601 m³","8 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektra",NA,"Dakisolatie, dubbel glas, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2018, eigendom","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Aangebouwde stenen berging",NA,"Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","9 m²","290 m²","C Wat betekent dit?","290 m²","Achtertuin en voortuin",NA,NA,NA
"7","Frans Fouraschenstraat 11","27 januari 2021","9 februari 2021","13 dagen","€ 725.000 kosten koper","€ 4.966","Verkocht",NA,NA,"Bestaande bouw","2020","Plat dak","146 m²",NA,NA,"577 m³","4 kamers (3 slaapkamers)",NA,NA,"3 woonlagen",NA,"Zonnepanelen",NA,"Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","In centrum",NA,NA,"Parkeerplaats","Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning",NA,"90 m²","A Wat betekent dit?","90 m²","Achtertuin",NA,NA,NA
"8","Bergerstraat 93 93A","27 oktober 2020","17 maart 2021","4½ maand","€ 899.000 kosten koper","€ 4.994","Verkocht",NA,NA,"Bestaande bouw","1930","Mansarde dak bedekt met pannen","180 m²","7 m²",NA,"1.050 m³","8 kamers (8 slaapkamers)","3 badkamers en 3 aparte toiletten","3 douches en 3 toiletten","3 woonlagen en een kelder",NA,"Mechanische ventilatie en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt uit 2020, huur)","Volle eigendom","In woonwijk",NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","34 m²","200 m²","E Wat betekent dit?","200 m²","Achtertuin en voortuin","0,01 meter diep en 0,01 meter breed","Gelegen op het zuiden",NA
"9","Haafkensborg 24","20 januari 2021","10 februari 2021","3 weken","€ 250.000 kosten koper","€ 2.137","Verkocht",NA,NA,"Bestaande bouw","1978","Zadeldak bedekt met pannen","117 m²",NA,"6 m²","384 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2015, huur","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"130 m²","C Wat betekent dit?","130 m²","Achtertuin en voortuin","54 m² (9,75 meter diep en 5,5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"10","Kavelnummer (Bouwnr. A37)","27 oktober 2020","10 maart 2021","4 maanden","€ 329.000 vrij op naam","€ 4.165","Verkocht",NA,"Portiekflat","Nieuwbouw","2021",NA,"79 m²",NA,NA,"209 m³","3 kamers",NA,NA,"1 woonlaag",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,"Niet aanwezig, wel mogelijk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zonneterras",NA,NA,NA
"11","Peymeestersdreef 41","6 maart 2021","18 maart 2021","12 dagen","€ 275.000 kosten koper","€ 2.570",NA,NA,NA,"Bestaande bouw","1965",NA,NA,NA,NA,"340 m³","7 kamers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"C Wat betekent dit?","107 m² wonen / 149 m² perceel",NA,NA,NA,NA
"12","van Hamalstraat 5","14 januari 2021","12 februari 2021","4 weken","€ 199.000 kosten koper","€ 1.843","Verkocht",NA,NA,"Bestaande bouw","1970","Zadeldak","108 m²","3 m²",NA,"582 m³","5 kamers (3 slaapkamers)",NA,NA,"2 woonlagen, een zolder en een kelder",NA,"Rolluiken, rookkanaal en schuifpui","D Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2016, huur","Volle eigendom","In woonwijk",NA,NA,"Aangebouwde stenen garage",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","63 m²","315 m²",NA,"315 m²","Achtertuin en voortuin",NA,NA,"1 auto"
"13","Tillystraat 2","27 februari 2021","12 maart 2021","13 dagen","€ 169.000 kosten koper","€ 2.641","Verkocht",NA,NA,"Bestaande bouw","1941","Zadeldak bedekt met pannen","64 m²",NA,"6 m²","280 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder",NA,"Elektra",NA,"Dakisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel","Volle eigendom","In woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","10 m²","97 m²","G Wat betekent dit?","97 m² (deelperceel)","Achtertuin","27 m² (4,2 meter diep en 6,4 meter breed)","Gelegen op het zuidwesten",NA
"14","Kasteel Hillenraadweg 18 D","19 februari 2021","17 maart 2021","3 weken","€ 185.000 kosten koper","€ 2.681","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1987","Plat dak bedekt met bitumineuze dakbedekking","69 m²","6 m²","8 m²","211 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","3e woonlaag",NA,NA,"Dakisolatie, dubbel glas, HR-glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit CW5 (gas gestookt combiketel uit 2019, eigendom)",NA,"In woonwijk en vrij uitzicht","Balkon aanwezig","Inpandig","Parkeerplaats","Openbaar parkeren en parkeergarage","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,NA
"15","Clavecymbelstraat 42 D","17 februari 2021","9 maart 2021","2 weken","€ 169.000 kosten koper","€ 2.086","Verkocht","€ 158,00 per maand","Maisonnette (appartement)","Bestaande bouw","1958","Plat dak bedekt met bitumineuze dakbedekking","81 m²","3 m²","8 m²","274 m³","3 kamers (2 slaapkamers)","2 aparte toiletten",NA,"2 woonlagen","2e woonlaag","Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2010, eigendom",NA,"Aan rustige weg en in woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 158,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,NA
"16","Wolkammersdreef 75 C","25 februari 2021","12 maart 2021","2 weken","€ 175.000 kosten koper","€ 2.188","Verkocht","€ 198,25 per maand","Portiekflat (appartement)","Bestaande bouw","1965",NA,"80 m²","3 m²","10 m²","245 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","3e woonlaag","TV kabel",NA,"Dubbel glas","Blokverwarming",NA,NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 198,25 per maand)","Ja","Ja","Ja",NA,NA,NA,"E 2,28 Wat betekent dit?",NA,NA,NA,NA,NA
"17","Zepperenbank 38","24 februari 2021","10 maart 2021","14 dagen","€ 550.000 kosten koper","€ 3.481","Verkocht",NA,NA,"Bestaande bouw","1976","Zadeldak bedekt met pannen","158 m²","22 m²","5 m²","565 m³","8 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,"Alarminstallatie, dakraam, mechanische ventilatie, rolluiken, rookkanaal, TV kabel en zwembad","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel en gasboiler","Nefit Topline (gas gestookt combiketel uit 2009, eigendom)","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,"Carport","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","6 m²","343 m²",NA,"72 m²","Achtertuin","114 m² (15 meter diep en 7,6 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA
"18","Beeltplein 17","18 januari 2021","12 februari 2021","3 weken","€ 275.000 kosten koper","€ 3.235","Verkocht","€ 200,00 per maand","Maisonnette (appartement)","Bestaande bouw","1979","Zadeldak bedekt met bitumineuze dakbedekking en pannen","85 m²",NA,"3 m²","220 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","1e woonlaag","Mechanische ventilatie en rolluiken",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Remeha (gas gestookt uit 2005, huur)","Eigendom belast met erfpacht (einddatum erfpacht: 31-12-2075)","In centrum en in woonwijk",NA,"Inpandig",NA,"Betaald parkeren, op afgesloten terrein, openbaar parkeren, parkeergarage en parkeervergunningen","Ja","Ja","Ja (€ 200,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"C Wat betekent dit?",NA,"Voortuin",NA,"Gelegen op het noorden",NA
"19","Maconlaan 20","11 januari 2021","16 februari 2021","5 weken","€ 475.000 kosten koper","€ 3.831","Verkocht",NA,NA,"Bestaande bouw","1972",NA,"124 m²",NA,"23 m²","522 m³","5 kamers (4 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een kelder",NA,NA,NA,NA,"Heteluchtverwarming",NA,NA,"Volle eigendom",NA,NA,NA,"Aangebouwde stenen garage","Op eigen terrein",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","24 m²","323 m²","D Wat betekent dit?","323 m²","Achtertuin en voortuin","0,01 meter diep en 0,01 meter breed","Gelegen op het zuidwesten bereikbaar via achterom","1 auto"
"20","Zwanenstraat 22","29 januari 2021","24 februari 2021","3 weken","€ 269.000 kosten koper","€ 3.057","Verkocht",NA,"Maisonnette (appartement)","Bestaande bouw","1979",NA,"88 m²","23 m²","5 m²","324 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"2 woonlagen","1e woonlaag","Mechanische ventilatie",NA,NA,"Cv-ketel",NA,"Intergas (2018, eigendom)","Eigendom belast met erfpacht (einddatum erfpacht: 31-01-2078)",NA,NA,"Inpandig",NA,"Betaald parkeren, parkeergarage en parkeervergunningen","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"A 1,38 Wat betekent dit?",NA,"Achtertuin","20 m² (4,98 meter diep en 4,07 meter breed)",NA,NA
"21","Parallelweg 35","7 januari 2021","29 januari 2021","3 weken","€ 375.000 kosten koper","€ 3.827","Verkocht",NA,NA,"Bestaande bouw","1920",NA,"98 m²","14 m²","21 m²","479 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"2 woonlagen",NA,NA,"G Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel",NA,"Remeha (2014, eigendom)","Volle eigendom",NA,NA,NA,"Vrijstaande stenen garage",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","16 m²","236 m²",NA,"128 m²","Achtertuin","0,01 meter diep en 0,01 meter breed","Gelegen op het noordwesten bereikbaar via achterom","1 auto"
"22","Vleeshouwersdreef 33","7 januari 2021","9 februari 2021","4 weken","€ 315.000 kosten koper","€ 2.647","Verkocht",NA,NA,"Bestaande bouw","1965",NA,"119 m²","14 m²","16 m²","450 m³","6 kamers (4 slaapkamers)","1 apart toilet",NA,"3 woonlagen en een kelder",NA,"Alarminstallatie","D Wat betekent dit?",NA,NA,"Cv-ketel",NA,NA,NA,NA,NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","9 m²","325 m²",NA,"325 m²","Achtertuin en voortuin","0,01 meter diep en 0,01 meter breed","Gelegen op het zuiden bereikbaar via achterom","1 auto"
"23","Notenborg 14","17 februari 2021","15 maart 2021","3 weken","€ 239.000 kosten koper","€ 2.213","Verkocht",NA,NA,"Bestaande bouw","1982",NA,"108 m²","10 m²",NA,"404 m³","5 kamers (4 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een zolder",NA,NA,"C Wat betekent dit?",NA,"Cv-ketel",NA,"2011, huur","Volle eigendom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"140 m²",NA,"140 m²",NA,NA,NA,NA
"24","Evenbaeg 23, 4851 SIPPENAEKEN (België )","5 augustus 2020","8 januari 2021","5 maanden","€ 439.000 kosten koper","€ 1.463","Verkocht",NA,NA,"Bestaande bouw","2008",NA,"300 m²",NA,NA,"1.180 m³","6 kamers (4 slaapkamers)",NA,NA,"3 woonlagen en een kelder",NA,"Elektrische deur en elektra",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning",NA,"1.000 m²","Niet beschikbaar","1.000 m²","Tuin rondom",NA,NA,"1 auto"
"25","Sphinxlunet 62 F","23 december 2020","17 februari 2021","8 weken","€ 375.000 kosten koper","€ 3.750","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1998",NA,"100 m²",NA,"9 m²","318 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag","5e woonlaag",NA,"C Wat betekent dit?",NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Ja","Nee","Ja","Ja","Ja","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Kasteel Beusdaelplein 6 c","9 september 2019","1 oktober 2019","3 weken","€ 139.000 kosten koper",NA,"Verkocht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parkeerkelder",NA,NA,NA,NA,NA,NA,NA,NA,"50 m²",NA,NA,NA,NA,NA,"1"
"27","Bontwerkersdreef 12 B","22 juli 2020","22 juli 2020","0 dagen","€ 189.000 kosten koper","€ 2.032",NA,NA,"Galerijflat (appartement)","Bestaande bouw","1967",NA,NA,NA,NA,"290 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E Wat betekent dit?","93 m² wonen",NA,NA,NA,NA
"28","Concordiastraat 60 62","9 december 2019","10 december 2019","1 dag","€ 465.000 kosten koper","€ 3.321",NA,NA,NA,"Bestaande bouw","1935",NA,NA,NA,NA,"350 m³","6 kamers (6 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herenhuis, geschakelde woning",NA,NA,"Niet beschikbaar","140 m² wonen / 144 m² perceel",NA,NA,NA,NA
"29","Sint Pieterskade 18","6 november 2020","10 februari 2021","3 maanden","€ 800.000 kosten koper","€ 3.448","Verkocht",NA,NA,"Bestaande bouw","1935","Zadeldak bedekt met pannen","232 m²","5 m²",NA,"1.184 m³","6 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad, douche en 2 toiletten","3 woonlagen, een zolder en een kelder",NA,"Mechanische ventilatie, rookkanaal, schuifpui en TV kabel",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","HR combi (gas gestookt combiketel uit 2018, eigendom)","Volle eigendom","In woonwijk",NA,NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","74 m²","347 m²","D Wat betekent dit?","347 m²","Achtertuin","182 m² (26 meter diep en 7 meter breed)","Gelegen op het westen",NA
"30","Bellomontedomein 22","22 februari 2021","9 maart 2021","2 weken","€ 279.000 kosten koper","€ 2.325","Verkocht",NA,NA,"Bestaande bouw","1988","Plat dak bedekt met bitumineuze dakbedekking","120 m²","21 m²","6 m²","394 m³","6 kamers (5 slaapkamers)","2 badkamers","Ligbad, douche en toilet","3 woonlagen",NA,NA,"C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2015, eigendom","Volle eigendom","Aan park, aan rustige weg, aan water, in woonwijk en open ligging",NA,"Vrijstaande stenen berging",NA,"Betaald parkeren, op afgesloten terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"96 m²",NA,"7 m²","Achtertuin en voortuin",NA,NA,NA
"31","Jekerweg 66","7 december 2020","12 februari 2021","2 maanden","€ 595.000 kosten koper","€ 3.165","Verkocht",NA,NA,"Bestaande bouw","1937","Zadeldak bedekt met pannen","188 m²",NA,"10 m²","685 m³","8 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen en een kelder",NA,"Dakraam en TV kabel","F Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Radson (gas gestookt uit 1991, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande houten berging",NA,"Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","35 m²","365 m²",NA,"365 m²","Achtertuin en voortuin","228 m² (38 meter diep en 6 meter breed)","Gelegen op het zuidoosten",NA
"32","Stellalunet 13 B","22 januari 2021","8 februari 2021","2 weken","€ 449.000 kosten koper","€ 4.359","Verkocht",NA,"Galerijflat (appartement)","Bestaande bouw","2010",NA,"103 m²","12 m²","8 m²","349 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen","1e woonlaag",NA,"A Wat betekent dit?","Dubbel glas en volledig geïsoleerd",NA,"Cv-ketel",NA,"Volle eigendom","In centrum","Balkon aanwezig",NA,"Parkeerplaats","Op afgesloten terrein en parkeergarage","Nee","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Aylvalaan 19","20 januari 2021","6 februari 2021","2 weken","€ 785.000 kosten koper","€ 3.792","Verkocht",NA,NA,"Bestaande bouw","1930","Zadeldak bedekt met pannen","207 m²","13 m²",NA,"1.009 m³","12 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen, een zolder en een kelder",NA,"Dakraam, rookkanaal en TV kabel",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel en geiser","Remeha (gas gestookt combiketel uit 2015, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk","Balkon aanwezig",NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","66 m²","246 m²","D Wat betekent dit?","246 m²","Achtertuin en voortuin","72 m² (12 meter diep en 6 meter breed)","Gelegen op het zuiden",NA
"34","Keersboomgaard 36","7 januari 2021","5 februari 2021","4 weken","€ 197.000 kosten koper","€ 2.213","Verkocht",NA,NA,"Bestaande bouw","1990","Zadeldak","89 m²",NA,NA,"316 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,"Buitenzonwering, rolluiken en TV kabel",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2020, huur)","Volle eigendom","In woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,"110 m²","C 1,38 Wat betekent dit?","110 m²","Achtertuin en voortuin","41 m² (7,5 meter diep en 5,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA
"35","Florasingel 19","15 februari 2021","26 februari 2021","11 dagen","€ 219.000 kosten koper","€ 3.174","Verkocht",NA,NA,"Bestaande bouw","1949","Zadeldak","69 m²","22 m²","6 m²","346 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen, een zolder en een kelder",NA,"Elektra en stromend water",NA,"HR-glas en volledig geïsoleerd","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2014, eigendom","Volle eigendom","Aan park, in woonwijk en vrij uitzicht",NA,"Vrijstaande stenen berging",NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","26 m²","123 m²","E 2,17 Wat betekent dit?","123 m²","Achtertuin",NA,NA,NA
"36","Type 7 - Blok A (Bouwnr. 37)","27 oktober 2020","12 maart 2021","4 maanden","€ 329.000 vrij op naam","€ 4.165","Verkocht",NA,"Portiekflat (appartement)","Nieuwbouw","2021",NA,"79 m²",NA,NA,"237 m³","3 kamers (2 slaapkamers)",NA,NA,"5 woonlagen","4e woonlaag","Lift","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,NA,"In centrum","Balkon aanwezig",NA,"Parkeerkelder","Parkeergarage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Tongerseweg 259","10 februari 2021","14 maart 2021","4 weken","€ 625.000 kosten koper","€ 2.289","Verkocht",NA,NA,"Bestaande bouw","1900",NA,"273 m²","20 m²",NA,"3.175 m³","7 kamers (5 slaapkamers)","1 apart toilet",NA,"2 woonlagen, een zolder en een kelder",NA,NA,NA,"Grotendeels dubbelglas",NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","545 m²","984 m²","F Wat betekent dit?","234 m²",NA,NA,NA,NA
"38","Stellalunet 32 E","16 maart 2021","15 maart 2021",NA,"€ 380.000 kosten koper","€ 3.958","Verkocht","€ 195,00 per maand","Portiekflat (corridorflat)","Bestaande bouw","1997","Plat dak","96 m²","7 m²","9 m²","285 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","4e woonlaag","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","In woonwijk en vrij uitzicht","Balkon aanwezig","Inpandig","Parkeerplaats","Betaald parkeren","Ja","Ja","Ja (€ 195,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA
"39","Heugemerweg 9 A","4 december 2020","22 januari 2021","7 weken","€ 475.000 kosten koper
Hypotheekadvies","€ 3.831",NA,NA,NA,"Bestaande bouw","1923",NA,NA,NA,NA,"496 m³","6 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"F Wat betekent dit?","124 m² wonen / 155 m² perceel",NA,NA,NA,NA
