"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"1400","Gestelsestraat","7 juli 2020","15 juli 2020","8 dagen","€ 35.000 kosten koper",NA,"Verkocht",NA,"Bestaande bouw",NA,NA,NA,NA,"18 m²",NA,NA,NA,NA,NA,NA,NA,"Geen isolatie",NA,NA,NA,"18 m²","Volle eigendom",NA,NA,NA,NA,NA,"Garage",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"1401","Charlotte van Bourbonhof","7 juli 2020","1 september 2020","8 weken","€ 25.000 kosten koper",NA,"Verkocht",NA,"Bestaande bouw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"1402","Menelaoslaan 4","23 september 2020","22 september 2020",NA,"€ 495.000 kosten koper","€ 3.094","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw",NA,NA,"160 m²","20 m²","389 m²","600 m³","2 kamers",NA,NA,"1 woonlaag",NA,NA,NA,NA,NA,NA,"389 m²","Volle eigendom",NA,NA,NA,NA,NA,NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1403","Tullelaan 10","15 mei 2020","19 juni 2020","5 weken","€ 275.000 kosten koper","€ 2.835","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1986","Zadeldak bedekt met pannen","97 m²","26 m²","179 m²","330 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"179 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","65 m² (13 meter diep en 5 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA,"Openbaar parkeren",NA,"15 m²","Vrijstaande stenen garage","1 auto","Bosch (gas gestookt combiketel uit 2007, eigendom)",NA,NA,NA,NA,NA,NA
"1404","de Koppele 47","8 augustus 2020","2 september 2020","3 weken","€ 210.000 kosten koper","€ 2.414","Verkocht",NA,"Bestaande bouw","1968",NA,"87 m²",NA,NA,"285 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","10 woonlagen","Lift, natuurlijke ventilatie en TV kabel","E 2,39 Wat betekent dit?","Geen isolatie","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan drukke weg en in woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"11 m²","Garagebox","1 auto",NA,"Kluswoning","€ 152 per maand",NA,"€ 152,00 per maand","Galerijflat (appartement)",NA
"1405","Loudonlaan 4","15 januari 2020","19 juni 2020","5 maanden","€ 630.000 kosten koper","€ 3.316","Verkocht","Bungalow, geschakelde woning","Bestaande bouw","1980","Plat dak bedekt met bitumineuze dakbedekking","190 m²",NA,"672 m²","687 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","Elektrische deur, elektra en verwarming","C Wat betekent dit?","Dakisolatie en muurisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel en elektrische boiler",NA,"672 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","152 m² (8 meter diep en 19 meter breed)","Gelegen op het zuidwesten","Inpandig","Op eigen terrein en openbaar parkeren",NA,NA,"Inpandig","1 auto","Rehema Quinta (gas gestookt combiketel uit 2006)",NA,NA,NA,NA,NA,NA
"1406","De Stoutheuvel 162","10 juli 2020","3 augustus 2020","3 weken","€ 275.000 kosten koper","€ 2.200","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1979","Zadeldak bedekt met pannen","125 m²","12 m²","143 m²","420 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Dakraam, mechanische ventilatie, natuurlijke ventilatie en rolluiken",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"143 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","54 m² (9 meter diep en 6 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging",NA,NA,NA,NA,NA,"Intergas ( combiketel uit 2017, huur)",NA,NA,NA,NA,NA,NA
"1407","Limousinlaan 10","7 april 2020","1 september 2020","4½ maand","€ 325.000 kosten koper","€ 2.982","Verkocht","Eengezinswoning, geschakelde 2-onder-1-kapwoning","Bestaande bouw","1979",NA,"109 m²","23 m²","199 m²","385 m³","4 kamers (3 slaapkamers)",NA,NA,"3 woonlagen","Elektra en stromend water","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"199 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, plaats en voortuin","84 m² (0,14 meter diep en 0,06 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,NA,"5 m²","Parkeerplaats en vrijstaande stenen garage","2 auto's","Combiketel",NA,NA,NA,NA,NA,NA
"1408","Petrus Dondersstraat 84","17 juli 2020","31 juli 2020","14 dagen","€ 469.000 kosten koper","€ 3.500","Verkocht","Herenhuis, tussenwoning","Bestaande bouw","1949","Zadeldak bedekt met bitumineuze dakbedekking en pannen","134 m²","6 m²","152 m²","485 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen, een zolder en een kelder","Elektra","C Wat betekent dit?","Dakisolatie, grotendeels dubbelglas en voorzetramen","Cv-ketel en open haard","Cv-ketel",NA,"152 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","74 m² (13,5 meter diep en 5,5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","15 m²",NA,NA,NA,"Nefit Ecomline HR (gas gestookt combiketel uit 1999, eigendom)",NA,NA,NA,NA,NA,NA
"1409","Poggenbeekstraat 13","10 juli 2020","29 juli 2020","2 weken","€ 289.000 kosten koper","€ 2.240","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1964","Zadeldak bedekt met pannen","129 m²","9 m²","201 m²","427 m³","6 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"3 woonlagen","Elektra","E Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,"201 m²","Volle eigendom",NA,"Achtertuin en voortuin","98 m² (14 meter diep en 7 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"4 m²",NA,NA,"Vaillant (gas gestookt combiketel, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
