"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"1","Grastapijt 5","25 februari 2021","8 maart 2021","11 dagen","€ 300.000 kosten koper","€ 3.125","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","96 m²","12 m²","156 m²","330 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming","Kadastrale kaart","156 m²","Volle eigendom","Aan rustige weg","Achtertuin en voortuin","83 m² (15 meter diep en 5,5 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Grassijsje 22","22 januari 2021","12 februari 2021","3 weken","€ 920.000 kosten koper","€ 3.036","Verkocht","Herenhuis, vrijstaande woning","Bestaande bouw","2003","Zadeldak bedekt met pannen","303 m²",NA,"418 m²","1.212 m³","9 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en douche","2 woonlagen, een zolder en een kelder","Elektrische deur, elektra, verwarming en stromend water","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"418 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","129 m² (8,3 meter diep en 15,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA,"Op eigen terrein en openbaar parkeren","41 m²","48 m²","Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA
"3","Scheidingstraat 64","21 januari 2021","5 februari 2021","2 weken","€ 350.000 kosten koper","€ 3.684","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","95 m²","10 m²","128 m²","374 m³","5 kamers (4 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Elektra","F Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,"128 m²","Volle eigendom","Aan rustige weg","Achtertuin","94 m² (12,5 meter diep en 7,5 meter breed)","Gelegen op het westen","Vrijstaande stenen berging","Openbaar parkeren",NA,"1 m²",NA,NA,"HRE Intergas (gas gestookt uit 2018, eigendom)",NA,NA,NA,NA,NA,NA
"4","St Jorislaan 5","6 januari 2021","17 februari 2021","6 weken","€ 495.000 kosten koper","€ 3.561","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Zadeldak bedekt met pannen","139 m²","9 m²","134 m²","485 m³","6 kamers (5 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","3 woonlagen","Elektra","E Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"134 m²","Volle eigendom","In centrum en in woonwijk","Achtertuin en voortuin","52 m² (8,62 meter diep en 6 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,"5 m²",NA,NA,"Nefit Topline (gas gestookt combiketel uit 2013, eigendom)","Beschermd stads- of dorpsgezicht en monumentaal pand",NA,NA,NA,NA,NA
"5","Grasvogel 23","28 december 2020","1 februari 2021","5 weken","€ 425.000 kosten koper","€ 2.623","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2006","Plat dak","162 m²","6 m²","149 m²","570 m³","7 kamers (6 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Centrale voorziening",NA,"134 m²","Volle eigendom","Aan rustige weg en vrij uitzicht","Achtertuin en voortuin","68 m² (12 meter diep en 5,7 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,"3 m²","Parkeerplaats",NA,NA,NA,"€ 12 per maand","Balkon aanwezig en frans balkon aanwezig",NA,NA,NA
"6","Graaf Adolfstraat 16","6 maart 2021","19 maart 2021","13 dagen","€ 250.000 kosten koper","€ 3.968","Verkocht",NA,"Bestaande bouw","1972","Plat dak","63 m²","6 m²",NA,"212 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Lift en TV kabel","C Wat betekent dit?","Dubbel glas","Blokverwarming","Elektrische boiler",NA,NA,"Volle eigendom","Aan park, in woonwijk en vrij uitzicht",NA,NA,NA,"Box","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,"16 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 112,00 per maand","Portiekflat (appartement)","Toegankelijk voor ouderen"
"7","Zandkasteel 114","3 februari 2021","19 februari 2021","2 weken","€ 300.000 kosten koper","€ 3.488","Verkocht",NA,"Bestaande bouw","2004","Plat dak bedekt met bitumineuze dakbedekking","86 m²","4 m²",NA,"270 m³","3 kamers (2 slaapkamers)","1 badkamer","Ligbad en toilet","5 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, driedubbel glas, dubbel glas, eco-bouw, gedeeltelijk dubbel glas, geen spouw, grotendeels dubbelglas, HR-glas, kierdichting, muurisolatie, vloerisolatie, volledig geïsoleerd en voorzetramen","Stadsverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Zonneterras",NA,NA,"Inpandig","Op afgesloten terrein en op eigen terrein",NA,"10 m²","Parkeerplaats",NA,NA,NA,"€ 162 per maand",NA,"€ 162,00 per maand","Portiekflat (appartement)",NA
"8","Zandhaai 26","13 januari 2021","1 februari 2021","2 weken","€ 375.000 kosten koper","€ 3.074","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1999","Lessenaardak bedekt met kunststof en overig","122 m²","9 m²","144 m²","417 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder","Elektra",NA,"Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"144 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin","60 m² (10 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Karel de Grotelaan 111","21 januari 2021","6 februari 2021","2 weken","€ 250.000 kosten koper","€ 3.472","Verkocht",NA,"Bestaande bouw","1955","Plat dak bedekt met bitumineuze dakbedekking","72 m²",NA,NA,"245 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"15 m²",NA,NA,"Nefit (gas gestookt combiketel uit 2007, eigendom)",NA,"€ 209 per maand","Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"10","Busonilaan 8","26 februari 2021","18 maart 2021","2 weken","€ 235.000 kosten koper","€ 2.500","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1959",NA,"94 m²","9 m²","170 m²","361 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Verwarming",NA,"Grotendeels dubbelglas","Cv-ketel","Cv-ketel",NA,"170 m²","Volle eigendom","Aan rustige weg","Achtertuin en voortuin","75 m² (12,5 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","8 m²",NA,NA,NA,"Remeha (gas gestookt combiketel uit 2019, eigendom)","Kluswoning",NA,NA,NA,NA,NA
"11","Biesterweg 65","8 februari 2021","13 februari 2021","5 dagen","€ 475.000 kosten koper","€ 3.654","Verkocht","Herenhuis, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","130 m²","9 m²","141 m²","460 m³","6 kamers (4 slaapkamers)","1 badkamer","Ligbad en toilet","3 woonlagen","Elektra","B Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,"141 m²","Volle eigendom","Beschutte ligging, in centrum en in woonwijk","Achtertuin",NA,NA,"Vrijstaande stenen berging","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,"Remeha HR (gas gestookt uit 2015, eigendom)",NA,NA,NA,NA,NA,NA
"12","St Lambertusstraat 1 A","22 februari 2021","22 februari 2021","0 dagen","Prijs op aanvraag",NA,"Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1922",NA,"77 m²","4 m²","65 m²","343 m³","4 kamers (2 slaapkamers)","1 badkamer","Douche en toilet","2 woonlagen",NA,NA,NA,NA,NA,NA,"65 m²","Volle eigendom",NA,NA,NA,NA,NA,NA,"8 m²","21 m²",NA,NA,NA,NA,NA,"Dakterras aanwezig",NA,NA,NA
"13","van der Lansstraat 4","23 februari 2021","9 maart 2021","14 dagen","€ 575.000 kosten koper","€ 4.259","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1934","Zadeldak bedekt met pannen","135 m²","10 m²","188 m²","477 m³","7 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Buitenzonwering, mechanische ventilatie en natuurlijke ventilatie","F Wat betekent dit?","Dakisolatie","Cv-ketel en open haard","Cv-ketel",NA,"188 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","78 m² (13 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren","12 m²",NA,NA,NA,"Nefit Ecomline (gas gestookt combiketel uit 2006, eigendom)",NA,NA,"Dakterras aanwezig",NA,NA,NA
"14","Christinastraat 193","15 januari 2021","28 januari 2021","13 dagen","€ 350.000 kosten koper","€ 3.333","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","105 m²","12 m²","130 m²","384 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","E Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel en gashaard","Cv-ketel",NA,"130 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,NA,"Vrijstaande houten berging","Betaald parkeren en openbaar parkeren",NA,NA,NA,NA,"Gas gestookt combiketel uit 2017, eigendom",NA,NA,NA,NA,NA,NA
"15","Rodinstraat 43","16 januari 2021","3 februari 2021","2 weken","€ 325.000 kosten koper","€ 2.902","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1964","Zadeldak bedekt met pannen","112 m²","9 m²","162 m²","418 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra","D Wat betekent dit?","Geen isolatie","Cv-ketel en open haard","Cv-ketel en elektrische boiler",NA,"162 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","42 m² (7 meter diep en 6 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren en parkeervergunningen","17 m²","14 m²",NA,NA,"Intergas HRE ( combiketel uit 2020, huur)",NA,NA,NA,NA,NA,NA
"16","Tivolilaan 81","9 januari 2021","28 januari 2021","2 weken","€ 259.000 kosten koper","€ 3.012","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1951","Zadeldak bedekt met pannen","86 m²","22 m²","149 m²","314 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen en een zolder","Elektra","D Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"149 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin","88 m² (12 meter diep en 7 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"4 m²",NA,NA,"Nefit (gas gestookt uit 2010)",NA,NA,NA,NA,NA,NA
"17","Meierijlaan 58","20 januari 2021","10 februari 2021","3 weken","€ 300.000 kosten koper","€ 2.703","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1968","Zadeldak bedekt met pannen","111 m²","12 m²","140 m²","396 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"140 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","53 m² (10,5 meter diep en 5 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","3 m²","16 m²",NA,NA,"Remeha Tzerra (gas gestookt combiketel uit 2019, eigendom)",NA,NA,NA,NA,NA,NA
"18","Gerbrandyhof 6","22 november 2018","13 november 2020","23½ maand","€ 895.000 kosten koper","€ 4.182","Verkocht","Villa, vrijstaande woning","Bestaande bouw","1978","Schilddak bedekt met overig","214 m²",NA,"920 m²","871 m³","5 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","2 douches","2 woonlagen en een zolder","Elektra, verwarming en stromend water",NA,"Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel, gashaard en gedeeltelijke vloerverwarming","Cv-ketel",NA,"920 m²","Volle eigendom","Aan park, aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, tuin rondom, voortuin en zijtuin",NA,NA,"Aangebouwde stenen berging","Openbaar parkeren","34 m²","30 m²","Carport",NA,"Intergas (gas gestookt combiketel uit 2018, eigendom)",NA,NA,NA,NA,NA,NA
"19","Groot-Bijgaardenlaan 117","5 februari 2021","23 februari 2021","2 weken","€ 369.000 kosten koper","€ 3.101","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1997","Lessenaardak bedekt met pannen","119 m²",NA,"193 m²","494 m³","5 kamers (4 slaapkamers)","1 badkamer","Ligbad en toilet","2 woonlagen","Elektrische deur, elektra en verwarming",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"193 m²","Volle eigendom","Aan park, aan rustige weg en in woonwijk","Achtertuin en voortuin","96 m² (12 meter diep en 8 meter breed)","Gelegen op het westen",NA,"Op eigen terrein en openbaar parkeren","19 m²","16 m²","Aangebouwde stenen garage","1 auto","2016, eigendom",NA,NA,NA,NA,NA,NA
"20","Metzlaan 18","5 februari 2021","16 februari 2021","11 dagen","€ 469.000 kosten koper","€ 3.350","Verkocht","Bungalow, geschakelde woning","Bestaande bouw","1988","Plat dak bedekt met bitumineuze dakbedekking","140 m²",NA,"376 m²","585 m³","4 kamers (3 slaapkamers)","1 apart toilet",NA,"1 woonlaag","Elektrische deur, elektra, verwarming en stromend water",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel",NA,NA,"376 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","224 m² (16 meter diep en 14 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Aangebouwde houten berging","Op eigen terrein","21 m²","35 m²","Inpandig","1 auto","Remeha HR (gas gestookt combiketel uit 2004, eigendom)","Gestoffeerd",NA,NA,NA,NA,"Toegankelijk voor minder validen en toegankelijk voor ouderen"
"21","St Gerardusplein 8","22 januari 2021","21 januari 2021",NA,"€ 875.000 kosten koper","€ 4.167","Verkocht","Herenhuis, hoekwoning","Bestaande bouw","1926",NA,"210 m²",NA,"338 m²","750 m³","8 kamers (6 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","4 woonlagen","Elektra",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"338 m²","Volle eigendom","In woonwijk en vrij uitzicht","Tuin rondom",NA,NA,"Aangebouwde houten berging",NA,NA,"27 m²",NA,NA,"Gas gestookt combiketel, eigendom",NA,NA,"Dakterras aanwezig",NA,NA,NA
"22","Barrierweg 138","28 januari 2021","14 februari 2021","2 weken","€ 425.000 kosten koper","€ 2.852","Verkocht","Eengezinswoning, halfvrijstaande woning","Bestaande bouw","2000","Plat dak bedekt met bitumineuze dakbedekking","149 m²","2 m²","271 m²","558 m³","6 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen","Elektra en stromend water","B Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel en elektrische boiler",NA,"271 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin","92 m² (8 meter diep en 11,5 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaand kunststof","Op eigen terrein en openbaar parkeren","16 m²","26 m²","Inpandig en parkeerplaats","1 auto","AWB (gas gestookt combiketel uit 2008, eigendom)",NA,NA,"Dakterras aanwezig en frans balkon aanwezig",NA,NA,NA
"23","Veldmaarschalk Montgomerylaan 347","31 oktober 2020","9 februari 2021","3 maanden","€ 475.000 kosten koper","€ 2.932","Verkocht",NA,"Bestaande bouw","1973","Plat dak bedekt met bitumineuze dakbedekking","162 m²","16 m²",NA,"583 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","6 woonlagen","Elektrische deur en elektra","B Wat betekent dit?","Driedubbel glas, HR-glas en muurisolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan drukke weg, in centrum en vrij uitzicht",NA,NA,NA,NA,"Op eigen terrein en parkeervergunningen",NA,"28 m²","Garagebox","1 auto","Nefit (gas gestookt combiketel uit 2016, eigendom)",NA,"€ 295 per maand","Balkon aanwezig","€ 295,00 per maand","Portiekflat (appartement)",NA
"24","Landleven 35","22 januari 2021","9 februari 2021","2 weken","€ 350.000 kosten koper","€ 3.398","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2013","Plat dak bedekt met bitumineuze dakbedekking","103 m²","6 m²","125 m²","372 m³","4 kamers (3 slaapkamers)","1 apart toilet",NA,"2 woonlagen","Elektra","A Wat betekent dit?","Dubbel glas en volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"125 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,NA,"Intergas (gas gestookt combiketel uit 2013, eigendom)",NA,NA,NA,NA,NA,NA
"25","Floralaan West 298","29 augustus 2020","16 oktober 2020","6 weken","€ 895.000 kosten koper","€ 3.891","Verkocht","Herenhuis, 2-onder-1-kapwoning","Bestaande bouw","1953","Zadeldak bedekt met pannen","230 m²","4 m²","538 m²","858 m³","8 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","4 woonlagen en een kelder","Glasvezelkabel en rookkanaal","C Wat betekent dit?","Gedeeltelijk dubbel glas en muurisolatie","Cv-ketel en open haard","Elektrische boiler en gasboiler",NA,"538 m²","Volle eigendom","In bosrijke omgeving, in centrum, in woonwijk en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras","216 m² (16 meter diep en 13,5 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Op afgesloten terrein, op eigen terrein en openbaar parkeren","9 m²","21 m²","Garage mogelijk en parkeerplaats",NA,"Gas gestookt uit 2006, eigendom",NA,NA,NA,NA,NA,NA
"26","Boutenslaan 107","22 februari 2021","12 maart 2021","2 weken","€ 249.000 kosten koper","€ 3.662","Verkocht",NA,"Bestaande bouw","1955","Plat dak bedekt met bitumineuze dakbedekking","68 m²","5 m²",NA,"190 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra","G Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Moederhaard","Elektrische boiler",NA,NA,"Volle eigendom","Aan drukke weg, aan park, aan water, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"5 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 125,00 per maand","Portiekflat (appartement)",NA
"27","Grastapijt 29","22 januari 2021","16 februari 2021","3 weken","€ 375.000 kosten koper","€ 2.907","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Lessenaardak","129 m²","9 m²","156 m²","432 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"156 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","78 m² (13 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Heezerweg 218","9 januari 2021","5 februari 2021","3 weken","€ 529.000 kosten koper","€ 2.891","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1934","Zadeldak bedekt met pannen","183 m²",NA,"247 m²","696 m³","6 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,"E Wat betekent dit?","Gedeeltelijk dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"247 m²","Volle eigendom",NA,"Achtertuin en voortuin","74 m² (9 meter diep en 8,25 meter breed)","Gelegen op het zuidwesten","Aangebouwde stenen berging","Op eigen terrein","3 m²","4 m²",NA,NA,"Remeha (gas gestookt combiketel uit 2012, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"29","St Gerarduslaan 33","31 oktober 2020","12 november 2020","12 dagen","€ 535.000 kosten koper","€ 3.386","Verkocht","Herenhuis, tussenwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","158 m²",NA,"157 m²","580 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen en een vliering",NA,NA,"Dakisolatie, dubbel glas, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"157 m²","Volle eigendom","In woonwijk","Achtertuin","50 m² (10 meter diep en 5 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA,"Openbaar parkeren","6 m²","2 m²",NA,NA,"Remeha (gas gestookt combiketel uit 2017, eigendom)",NA,NA,NA,NA,NA,NA
"30","Zandvliegje 9","16 oktober 2020","15 februari 2021","3½ maand","€ 475.000 kosten koper","€ 2.969","Verkocht","Bungalow, hoekwoning","Bestaande bouw","2002","Plat dak bedekt met bitumineuze dakbedekking","160 m²","8 m²","288 m²","575 m³","4 kamers (3 slaapkamers)","1 badkamer","Ligbad, douche en toilet","1 woonlaag","Elektra",NA,"Dakisolatie, muurisolatie en vloerisolatie","Stadsverwarming","Centrale voorziening",NA,"288 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin","57 m² (9,8 meter diep en 5,8 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Inpandig","Openbaar parkeren",NA,NA,"Parkeerplaats",NA,NA,NA,NA,NA,NA,NA,"Toegankelijk voor minder validen en toegankelijk voor ouderen"
"31","Kalverstraat 8","18 januari 2021","9 februari 2021","3 weken","€ 300.000 kosten koper","€ 4.054","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1948",NA,"74 m²","27 m²","242 m²","342 m³","5 kamers (3 slaapkamers)",NA,NA,"1 woonlaag en een zolder",NA,NA,"Dakisolatie en dubbel glas",NA,NA,NA,"242 m²","Volle eigendom",NA,"Achtertuin, voortuin en zijtuin","115 m² (10 meter diep en 11,5 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA,"Op eigen terrein","22 m²","15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Woenselse Markt","28 maart 2018","11 maart 2021","35 maanden","€ 9.000 vrij op naam",NA,"Verkocht",NA,"Bestaande bouw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deelperceel","Volle eigendom",NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA
"33","Locomotiefstraat 67","23 januari 2021","5 februari 2021","13 dagen","€ 395.000 kosten koper","€ 2.324","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1933","Samengesteld dak bedekt met pannen","170 m²","44 m²","230 m²","595 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","E Wat betekent dit?","Grotendeels dubbelglas en muurisolatie","Cv-ketel","Cv-ketel, zonneboiler en zonnecollectoren",NA,"230 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin","70 m² (13 meter diep en 7,25 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA,"Openbaar parkeren",NA,"9 m²","Vrijstaande stenen garage","2 auto's","Nefit Ecomline HR (gas gestookt combiketel uit 1998, eigendom)",NA,NA,"Dakterras aanwezig",NA,NA,NA
"34","Bondstraat 9","27 november 2020","5 februari 2021","2 maanden","€ 359.000 kosten koper","€ 2.783","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Zadeldak bedekt met pannen","129 m²","18 m²","202 m²","507 m³","6 kamers (4 slaapkamers)","1 badkamer","Douche en toilet","2 woonlagen en een zolder","Elektra","E Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"202 m²","Volle eigendom","Aan rustige weg, in centrum en in woonwijk","Achtertuin","77 m² (15 meter diep en 9,1 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","17 m²","11 m²",NA,NA,"Gas gestookt combiketel uit 2016",NA,NA,NA,NA,NA,NA
"35","Clausplein 18","19 november 2020","12 februari 2021","2½ maand","€ 475.000 kosten koper","€ 4.241","Verkocht",NA,"Bestaande bouw","2002","Plat dak","112 m²","19 m²",NA,"346 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","9 woonlagen","Elektra","A Wat betekent dit?","Dakisolatie, muurisolatie en vloerisolatie","Stadsverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,"Inpandig","Betaald parkeren",NA,"7 m²","Parkeerkelder",NA,NA,NA,NA,NA,"€ 236,29 per maand","Portiekflat (appartement)","Toegankelijk voor minder validen en toegankelijk voor ouderen"
"36","Fransebaan 131","22 januari 2021","2 februari 2021","11 dagen","€ 350.000 kosten koper","€ 2.713","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1984","Zadeldak bedekt met pannen","129 m²","13 m²","207 m²","483 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,"207 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","94 m² (15,6 meter diep en 6 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging",NA,NA,"15 m²","Carport",NA,"Nefit (gas gestookt uit 2018, eigendom)",NA,NA,NA,NA,NA,NA
