"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"1","Sumatrastraat 9","1 maart 2021","15 maart 2021","14 dagen","€ 169.500 kosten koper","€ 1.863","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1930","Zadeldak bedekt met pannen","91 m²","14 m²","182 m²","371 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektrische deur en elektra","D Wat betekent dit?","Dakisolatie, grotendeels dubbelglas, muurisolatie en vloerisolatie","Cv-ketel en houtkachel","Cv-ketel","Vaillant VHR (gas gestookt combiketel uit 2004, eigendom)","182 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","28 m² (5,5 meter diep en 5 meter breed)","Gelegen op het zuiden","Vrijstaande stenen garage","1 auto","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Oostersingel 68 R","8 februari 2021","8 maart 2021","4 weken","€ 535.000 kosten koper","€ 2.277","Verkocht",NA,"Bestaande bouw","2004",NA,"235 m²","40 m²",NA,"854 m³","8 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","2 woonlagen","Dakraam, glasvezelkabel, lift, natuurlijke ventilatie en TV kabel","A Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas Kobi kompakt (gas gestookt combiketel uit 2021, eigendom)",NA,"Volle eigendom","Aan rustige weg en vrij uitzicht",NA,NA,NA,"Parkeerkelder",NA,"Parkeergarage","Penthouse (dubbel bovenhuis)","13 m²","18 m²","Balkon aanwezig","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA
"3","Ype Poortingawei 17","18 januari 2021","25 februari 2021","5 weken","€ 297.500 kosten koper","€ 2.633","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1990","Dwarskap bedekt met pannen","113 m²","17 m²","244 m²","448 m³","6 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Elektrische deur en elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt uit 2013, eigendom)","244 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,NA,NA,"Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,"5 m²","5 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,NA
"4","Uiterdijksterweg 8 3","23 februari 2021","16 maart 2021","3 weken","€ 125.000 kosten koper","€ 1.359","Verkocht",NA,"Bestaande bouw","1966","Plat dak bedekt met bitumineuze dakbedekking","92 m²",NA,NA,"297 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","Lift",NA,NA,"Blokverwarming","Elektrische boiler (huur)",NA,NA,"Gemeentelijk eigendom belast met erfpacht","Aan drukke weg, in woonwijk, open ligging en vrij uitzicht",NA,NA,NA,NA,NA,NA,"Galerijflat (appartement)","8 m²","5 m²",NA,"Ja","Ja","Ja (€ 118,63 per maand)","Ja","Ja","Ja","Inpandig","€ 118,63 per maand","3e woonlaag","E Wat betekent dit?",NA,NA
"5","Bouwnummer (Bouwnr. 1)","21 april 2018","19 maart 2021","34½ maand","€ 369.750 vrij op naam","€ 3.081","Verkocht",NA,"Nieuwbouw","2020",NA,"120 m²",NA,NA,"372 m³","5 kamers (2 slaapkamers)","1 badkamer","Zitbad en douche","1 woonlaag","Mechanische ventilatie en zonnecollectoren",NA,"Volledig geïsoleerd","Warmtepomp",NA,NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Portiekwoning",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"6","Nijlânsdyk 213 d","27 februari 2021","12 maart 2021","13 dagen","€ 167.500 kosten koper","€ 2.326","Verkocht",NA,"Bestaande bouw",NA,"Plat dak","72 m²",NA,NA,"238 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"4 woonlagen","Elektra",NA,"Dakisolatie en dubbel glas","Blokverwarming","Geiser",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,NA,NA,"Openbaar parkeren","Portiekflat (appartement)","6 m²","5 m²","Balkon aanwezig","Ja","Ja","Ja (€ 129,00 per maand)","Ja","Ja","Ja","Inpandig","€ 129,00 per maand","4e woonlaag","E Wat betekent dit?","1960-1970",NA
"7","Mockemastate 19","19 februari 2021","6 maart 2021","2 weken","€ 219.000 kosten koper","€ 2.212","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1982","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","99 m²","30 m²","202 m²","443 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen","Elektrische deur en elektra",NA,"Geen isolatie","Stadsverwarming","Stadsverwarming",NA,"202 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"C Wat betekent dit?",NA,"65 m² (13 meter diep en 5 meter breed)"
"8","Watermunt 36","7 januari 2021","1 februari 2021","3 weken","€ 245.000 kosten koper","€ 1.561","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1974","Zadeldak bedekt met pannen","157 m²",NA,"208 m²","578 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,"D Wat betekent dit?","Geen isolatie",NA,"Cv-ketel",NA,"47 m²","Volle eigendom","In woonwijk","Achtertuin en zijtuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"3 m²","2 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"60 m² (8 meter diep en 7,5 meter breed)"
"9","Groot Schavernek 7 B","23 januari 2021","1 maart 2021","5 weken","€ 225.000 kosten koper","€ 2.744","Verkocht",NA,"Bestaande bouw","2010","Plat dak bedekt met bitumineuze dakbedekking","82 m²","3 m²",NA,"300 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","Mechanische ventilatie",NA,NA,"Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom",NA,"Volle eigendom","Aan drukke weg en in centrum",NA,NA,NA,NA,NA,"Betaald parkeren en parkeervergunningen","Portiekflat (appartement)","6 m²","4 m²",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Inpandig",NA,"1e woonlaag","A Wat betekent dit?",NA,NA
"10","Frans van Mierisstraat 21","23 februari 2021","24 februari 2021","1 dag","Prijs op aanvraag",NA,NA,"Eengezinswoning, tussenwoning","Bestaande bouw","1935",NA,NA,NA,NA,"301 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,"81 m² wonen / 98 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Mozartstraat 3","15 januari 2021","2 februari 2021","2 weken","€ 179.500 kosten koper","€ 1.973","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","91 m²",NA,"84 m²","328 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Glasvezelkabel, natuurlijke ventilatie en TV kabel","D Wat betekent dit?","Dakisolatie, dubbel glas, HR-glas en vloerisolatie","Cv-ketel","Cv-ketel","AWB HR-combiketel (gas gestookt combiketel uit 2011, eigendom)","84 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"10 m²","4 m²","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"6 m² (2,5 meter diep en 2,5 meter breed)"
"12","De Rijd 41","26 februari 2021","9 maart 2021","11 dagen","€ 329.000 kosten koper","€ 2.437","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2001",NA,"135 m²","17 m²","257 m²","548 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Dakraam, glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie en TV kabel",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel","Intergas HRE (gas gestookt combiketel uit 2019, eigendom)","257 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het noordoosten bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B Wat betekent dit?",NA,"100 m² (10 meter diep en 10 meter breed)"
"13","Marssumerstraat 43","16 februari 2021","10 maart 2021","3 weken","€ 169.000 kosten koper","€ 2.253","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Dwarskap bedekt met pannen","75 m²","3 m²","113 m²","305 m³","5 kamers (4 slaapkamers)","1 badkamer","Ligbad, douche en toilet","2 woonlagen","Glasvezelkabel, natuurlijke ventilatie en TV kabel","F Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2020, huur)","32 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","35 m² (7 meter diep en 5 meter breed)","Gelegen op het zuidwesten",NA,NA,"Parkeervergunningen",NA,"1 m²","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Suder Stienplaat 129","16 december 2020","13 januari 2021","4 weken","€ 475.000 kosten koper
Hypotheekadvies","€ 2.487","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","2005",NA,"191 m²",NA,"379 m²","670 m³","6 kamers (5 slaapkamers)",NA,NA,"3 woonlagen",NA,"A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en open haard","Cv-ketel",NA,"379 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,NA,"Inpandig","1 auto",NA,NA,NA,NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Valeriusstraat 29 b","16 februari 2021","15 maart 2021","3 weken","€ 140.000 kosten koper","€ 2.121","Verkocht",NA,"Bestaande bouw","1958","Zadeldak bedekt met pannen","66 m²",NA,NA,"250 m³","3 kamers (2 slaapkamers)","1 badkamer","Douche en toilet","1 woonlaag","TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan drukke weg",NA,NA,NA,NA,NA,NA,"Portiekflat (appartement)","2 m²","74 m²",NA,"Ja","Ja","Ja","Ja","Ja","Ja","Inpandig",NA,"2e woonlaag","E Wat betekent dit?",NA,NA
"16","Camperstraat 30","3 februari 2021","17 februari 2021","14 dagen","€ 162.500 kosten koper","€ 1.729","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","94 m²","10 m²","138 m²","342 m³","4 kamers (3 slaapkamers)","1 badkamer","Ligbad en toilet","3 woonlagen","Glasvezelkabel, natuurlijke ventilatie en TV kabel","G Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2011, huur","138 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"32 m² (9 meter diep en 3,5 meter breed)"
"17","Beetgumerstraat 3","18 februari 2021","9 maart 2021","2 weken","€ 248.000 kosten koper","€ 2.611","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1930","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","95 m²","12 m²","140 m²","405 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen en een vliering","Rookkanaal en TV kabel",NA,"Grotendeels dubbelglas","Cv-ketel","Cv-ketel","Remeha (2006, eigendom)","20 m²","Volle eigendom","In centrum en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"G Wat betekent dit?",NA,"20 m² (4 meter diep en 5 meter breed)"
"18","Raaigras 201","6 januari 2021","27 januari 2021","3 weken","€ 185.000 kosten koper","€ 1.667","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1975","Plat dak bedekt met bitumineuze dakbedekking","111 m²",NA,"137 m²","374 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder",NA,NA,NA,"Cv-ketel","Cv-ketel","Remeha Avanta 28C CW 4 (gas gestookt combiketel uit 2008, eigendom)","137 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin",NA,NA,NA,NA,NA,NA,NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"C Wat betekent dit?",NA,NA
"19","3e Vegelindwarsstraat 20","4 februari 2021","8 maart 2021","4 weken","€ 275.000 kosten koper","€ 2.254","Verkocht","Eengezinswoning, eindwoning (drive-in woning)","Bestaande bouw","2005","Plat dak bedekt met bitumineuze dakbedekking en pannen","122 m²","30 m²","95 m²","380 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektrische deur en stromend water","A Wat betekent dit?","Volledig geïsoleerd","Aardwarmte, gehele vloerverwarming en warmte terugwininstallatie","Elektrische boiler",NA,"95 m²","Volle eigendom","Aan rustige weg en in woonwijk","Voortuin en zonneterras",NA,"Gelegen op het zuidoosten","Inpandig","1 auto","Openbaar parkeren",NA,"20 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","De Malus 59","4 februari 2021","9 maart 2021","4 weken","€ 269.500 kosten koper
Hypotheekadvies","€ 2.778","Verkocht",NA,"Bestaande bouw","2007","Plat dak","97 m²",NA,NA,"369 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","1 woonlaag","Elektra",NA,NA,"Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Gas gestookt combiketel uit 2019, eigendom",NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,"Op afgesloten terrein","Penthouse","1 m²","6 m²",NA,"Ja","Ja","Ja (€ 128,00 per maand)","Ja","Ja","Ja","Inpandig","€ 128,00 per maand","5e woonlaag","A Wat betekent dit?",NA,NA
"21","Appartement 37 (Bouwnr. 37)","29 januari 2021","15 maart 2021","6 weken","€ 217.000 vrij op naam","€ 2.973","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"3e woonlaag","A Wat betekent dit?",NA,NA
"22","Appartement 31 (Bouwnr. 31)","29 januari 2021","15 maart 2021","6 weken","€ 214.500 vrij op naam","€ 2.938","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"2e woonlaag","A Wat betekent dit?",NA,NA
"23","Appartement 38 (Bouwnr. 38)","29 januari 2021","15 maart 2021","6 weken","€ 211.000 vrij op naam","€ 2.890","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"3e woonlaag","A Wat betekent dit?",NA,NA
"24","Appartement 20 (Bouwnr. 20)","29 januari 2021","15 maart 2021","6 weken","€ 206.000 vrij op naam","€ 2.822","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"1e woonlaag","A Wat betekent dit?",NA,NA
"25","Appartement 32 (Bouwnr. 32)","29 januari 2021","15 maart 2021","6 weken","€ 208.500 vrij op naam","€ 2.856","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"2e woonlaag","A Wat betekent dit?",NA,NA
"26","Appartement 24 (Bouwnr. 24)","29 januari 2021","15 maart 2021","6 weken","€ 211.000 vrij op naam","€ 2.890","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"27","Appartement 25 (Bouwnr. 25)","29 januari 2021","15 maart 2021","6 weken","€ 214.500 vrij op naam","€ 2.938","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"2e woonlaag","A Wat betekent dit?",NA,NA
"28","Appartement 33 (Bouwnr. 33)","29 januari 2021","15 maart 2021","6 weken","€ 213.500 vrij op naam","€ 2.925","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,"2e woonlaag","A Wat betekent dit?",NA,NA
"29","Appartement 5 (Bouwnr. 5)","29 januari 2021","15 maart 2021","6 weken","€ 208.500 vrij op naam","€ 2.856","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"30","Appartement 9 (Bouwnr. 9)","29 januari 2021","15 maart 2021","6 weken","€ 208.500 vrij op naam","€ 2.856","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"31","Appartement 7 (Bouwnr. 7)","29 januari 2021","15 maart 2021","6 weken","€ 209.500 vrij op naam","€ 2.870","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"32","Appartement 11 (Bouwnr. 11)","29 januari 2021","15 maart 2021","6 weken","€ 208.500 vrij op naam","€ 2.856","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"33","Appartement 12 (Bouwnr. 12)","29 januari 2021","15 maart 2021","6 weken","€ 208.500 vrij op naam","€ 2.856","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"34","Appartement 6 (Bouwnr. 6)","29 januari 2021","15 maart 2021","6 weken","€ 208.500 vrij op naam","€ 2.856","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"35","Appartement 1 (Bouwnr. 1)","29 januari 2021","15 maart 2021","6 weken","€ 209.500 vrij op naam","€ 2.870","Verkocht",NA,"Nieuwbouw","2021",NA,"73 m²",NA,NA,"210 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Mechanische ventilatie en zonnepanelen",NA,"Volledig geïsoleerd","Gedeeltelijke vloerverwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,NA,"Galerijflat",NA,NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"36","Holdingastate 34","8 februari 2021","24 februari 2021","2 weken","€ 229.500 kosten koper","€ 2.441","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1993",NA,"94 m²","9 m²","233 m²","375 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,"B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel",NA,"Gas gestookt combiketel uit 2007, eigendom","233 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noorden bereikbaar via achterom","Vrijstaande houten garage","1 auto",NA,NA,NA,"21 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 m² (10 meter diep en 5 meter breed)"
"37","Schuilenburg 39","28 februari 2021","9 maart 2021","9 dagen","€ 215.000 kosten koper","€ 1.886","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1981",NA,"114 m²",NA,"159 m²","438 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen","Mechanische ventilatie en schuifpui","C Wat betekent dit?","Dakisolatie en HR-glas","Cv-ketel","Cv-ketel","HR-Combi (gas gestookt combiketel uit 2015, eigendom)","159 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het noordoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"9 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"50 m² (10 meter diep en 5 meter breed)"
