"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"639","Geraniumstraat 75","11 juli 2020","6 augustus 2020","3 weken","€ 169.500 kosten koper","€ 1.994","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met bitumineuze dakbedekking en pannen","85 m²","10 m²","103 m²","340 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Natuurlijke ventilatie en TV kabel","F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2002)","103 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"19 m² (7,5 meter diep en 2,5 meter breed)"
"640","Ereprijs 64","5 september 2020","29 september 2020","3 weken","€ 229.500 kosten koper","€ 1.881","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1974","Zadeldak bedekt met pannen","122 m²","21 m²","193 m²","520 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,"193 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,"Gelegen op het oosten","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"C Wat betekent dit?",NA,"60 m² (10 meter diep en 6 meter breed)"
"641","Middelzeelaan 36","30 juli 2020","2 september 2020","4 weken","€ 428.000 kosten koper","€ 2.626","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1992","Samengesteld dak bedekt met pannen","163 m²","36 m²","491 m²","717 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Vliering en elektra","A Wat betekent dit?","Muurisolatie","Cv-ketel, gashaard en gedeeltelijke vloerverwarming","Cv-ketel","Nefit Turbo HR (2007, eigendom)","491 m²","Volle eigendom","In woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het westen","Aangebouwde stenen garage","2 auto's","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105 m² (11 meter diep en 10 meter breed)"
"642","Kwelderstraat 11 c","23 juli 2020","13 augustus 2020","3 weken","€ 135.000 kosten koper
Hypotheekadvies","€ 1.929","Verkocht",NA,"Bestaande bouw","1961","Plat dak bedekt met bitumineuze dakbedekking","70 m²",NA,NA,"229 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra en stromend water","G Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2018, eigendom)",NA,"Gemeentelijk eigendom belast met erfpacht","In woonwijk en vrij uitzicht",NA,NA,NA,NA,NA,"Openbaar parkeren","Portiekflat (appartement)","4 m²","18 m²","Balkon aanwezig","Ja","Ja","Ja (€ 100,00 per maand)","Ja","Ja","Ja","Box","€ 100,00 per maand","3e woonlaag",NA,NA,NA
"643","Kwekerijstraat 25","24 augustus 2020","4 september 2020","11 dagen","€ 139.500 kosten koper","€ 2.214","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1919","Zadeldak bedekt met pannen","63 m²",NA,NA,"232 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Dakraam, glasvezelkabel, rookkanaal en TV kabel","F Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","AWB ( combiketel uit 2003, eigendom)",NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,NA,NA,NA,"Openbaar parkeren",NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,NA
"644","Ytsjesân 53","31 juli 2020","22 september 2020","7 weken","Prijs op aanvraag",NA,"Villa, vrijstaande woning","Bestaande bouw","2006","Zadeldak bedekt met pannen","318 m²","35 m²","52 m²","1.315 m³","7 kamers (5 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en toilet","2 woonlagen, een zolder en een kelder","Alarminstallatie en zonnepanelen","Volledig geïsoleerd","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Op eigen terrein en openbaar parkeren","Kadastrale kaart",NA,NA,"Volle eigendom","Aan rustige weg, aan vaarwater, aan water, open ligging en vrij uitzicht","Tuin rondom","Dakterras aanwezig en balkon aanwezig",NA,NA,"1 auto","Elektrische deur, elektra en verwarming",NA,NA,"1.252 m²",NA,"Aangebouwde stenen garage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Verzetsstraat 31","3 september 2020","7 september 2020","4 dagen","€ 195.000 kosten koper
Hypotheekadvies","€ 1.741","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw",NA,NA,"112 m²",NA,"184 m²","403 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Dakraam, glasvezelkabel, natuurlijke ventilatie, rookkanaal, schuifpui en TV kabel","C Wat betekent dit?","Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel en houtkachel","Cv-ketel","Remeha (gas gestookt combiketel uit 2007, eigendom)","184 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom","Carport en vrijstaande stenen garage","1 auto",NA,NA,"17 m²","16 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1945-1959","48 m² (8 meter diep en 6 meter breed)"
"646","Helmersstraat 3","1 augustus 2020","21 augustus 2020","2 weken","€ 262.500 kosten koper","€ 2.134","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1934",NA,"123 m²","11 m²","165 m²","490 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Dakraam en natuurlijke ventilatie","F Wat betekent dit?","Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel","Atag (gas gestookt combiketel uit 2020, eigendom)","165 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin",NA,"Gelegen op het zuiden",NA,NA,NA,NA,"13 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51 m² (9 meter diep en 7 meter breed)"
"647","Bordineweg 89","17 juli 2020","13 augustus 2020","3 weken","€ 190.000 kosten koper","€ 2.184","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1969","Plat dak bedekt met bitumineuze dakbedekking","87 m²",NA,"258 m²","301 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen","Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel, eigendom)","258 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het zuiden","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,NA,"25 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"F Wat betekent dit?",NA,NA
"648","Suder Stienplaat 33","14 juli 2020","17 augustus 2020","4 weken","€ 398.000 kosten koper","€ 2.948","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","2016","Plat dak","135 m²",NA,"278 m²","504 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Buitenzonwering, glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie, TV kabel en zonnepanelen","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Intergas HRE (gas gestookt combiketel uit 2016)","278 m²","Volle eigendom","Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht","Achtertuin",NA,"Gelegen op het oosten bereikbaar via achterom","Vrijstaande houten garage","1 auto",NA,NA,"20 m²","15 m²","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"105 m² (15 meter diep en 7 meter breed)"
